,means,stds
0,0.02476645,0.030207799
1,0.025034424,0.052160116
2,0.021235215,0.029852994
3,0.006439582,0.027815524
4,-0.005098979,0.027198779
5,0.032105107,0.031690007
6,-0.032874668,0.033459087
7,-0.066844809,0.031455238
8,0.01472728,0.034473327
9,-0.003656678,0.036273536
10,-0.012881738,0.034159816
11,0.017145478,0.029471888
12,0.008150093,0.033499831
13,0.03190649,0.043107906
14,0.029458081,0.028761002
15,0.005464042,0.028612119
16,0.014717856,0.029484129
17,0.005436814,0.030078394
18,-0.002676331,0.031680415
19,-0.007814415,0.032401885
20,-0.025493524,0.032907775
21,-0.002850137,0.030641919
22,0.014536113,0.05248157
23,-0.004076184,0.033409981
24,-0.014549915,0.034011242
25,-0.002355893,0.03391875
26,0.000781318,0.034122814
27,-0.023093465,0.030911331
28,-0.00472736,0.032094728
29,0.000813346,0.025705031
30,-0.002498053,0.026588632
31,0.051845065,0.039629781
32,-0.12000505,0.012715052
33,-0.0082474,0.030584836
34,-0.117693465,0.007714133
35,0.004155105,0.033126407
36,-0.001437895,0.030015681
37,0.004099962,0.027421678
38,-0.00255773,0.029276428
39,0.016048685,0.031246675
40,-0.007942993,0.03198286
41,-0.032592681,0.034250653
42,-0.021665917,0.030384072
43,-0.001599609,0.027899651
44,-0.005639226,0.035141664
45,0.00779105,0.026582906
46,-0.003065482,0.031346562
47,-0.005069181,0.02937886
48,-0.016203451,0.028820564
49,0.001452328,0.031464345
50,-0.015781769,0.025693837
51,0.007702946,0.030716595
52,-0.014882751,0.030724102
53,-0.029115387,0.031670849
54,0.041558302,0.031912896
55,-0.000410771,0.027930472
56,0.001034332,0.030681098
57,-0.020074734,0.033708152
58,-0.012788811,0.027970943
59,0.019389482,0.030871267
60,-0.026509263,0.034756174
61,0.019351794,0.031224421
62,-0.014327688,0.03194926
63,-0.004963716,0.031402924
64,-0.003283851,0.028538163
65,0.010376701,0.034276347
66,-0.012233922,0.043264552
67,-0.010075066,0.029502881
68,-0.007372448,0.032526992
69,-0.017816402,0.028731336
70,-0.029465687,0.028195517
71,-0.00454291,0.026964022
72,-0.122182841,0.061907657
73,-0.009930907,0.037707824
74,-0.003873434,0.027008219
75,0.03400196,0.032529713
76,0.031715907,0.036937105
77,-0.013072044,0.031345179
78,-0.01004713,0.032767525
79,0.037817936,0.026397029
80,-0.000102491,0.029691343
81,0.01362491,0.034728955
82,-0.001268595,0.02992801
83,0.019878084,0.029542176
84,-0.017977091,0.030528584
85,-0.01756024,0.026062812
86,0.025600393,0.034413081
87,-0.007932688,0.02768552
88,0.007950961,0.032671909
89,0.021790649,0.027149477
90,0.003301682,0.026887456
91,-0.004714157,0.02994991
92,-0.001192821,0.030485857
93,0.004612635,0.029280648
94,-0.036750759,0.035437055
95,-0.018176329,0.030778985
96,-0.012527404,0.030691066
97,0.02242153,0.029975919
98,-0.015311179,0.02794937
99,-0.014874295,0.028553235
100,-0.022033894,0.031936906
101,0.01175535,0.026277985
102,0.006998562,0.035065472
103,0.013621824,0.042972313
104,0.01304234,0.028863322
105,0.016078089,0.031399373
106,0.001027409,0.034276115
107,-0.000568179,0.028298121
